Sample,COI_Quantity,COI_Cq,Sample,msat_Quantity,msat_Cq
STD_E-5,102713,22.81765206,STD_E-5,156190.2619,22.97292277
STD_E-5,102713,22.84890877,STD_E-5,156190.2619,22.83181228
STD_E-5,102713,22.62088227,STD_E-5,156190.2619,22.73681497
STD_E-6,10271.3,26.65351938,STD_E-6,15619.02619,25.14362036
STD_E-6,10271.3,26.77856418,STD_E-6,15619.02619,26.01316571
STD_E-6,10271.3,26.62973355,STD_E-6,15619.02619,25.93544373
STD_E-7,1027.13,30.14535421,STD_E-7,1561.902619,29.58109639
STD_E-7,1027.13,30.13326946,STD_E-7,1561.902619,29.53987835
STD_E-7,1027.13,30.43593595,STD_E-7,1561.902619,25.49666119
STD_E-8,102.713,34.44773433,STD_E-8,156.1902619,32.36466831
STD_E-8,102.713,33.52708917,STD_E-8,156.1902619,33.00052404
STD_E-8,102.713,33.26783138,STD_E-8,156.1902619,32.58426873
STD_E-9,10.2713,37.87114086,STD_E-9,15.61902619,35.73365052
STD_E-9,10.2713,37.15116068,STD_E-9,15.61902619,36.27105712
STD_E-9,10.2713,38,STD_E-9,15.61902619,36.14339637
ONE_1,1702.243,29.41260009,ONE.1.2L,NA,Undetermined
ONE_1,1450.983541,29.66842409,ONE.1.2L,13.21306789,36.00356807
ONE_1,1421.505548,29.70130221,ONE.1.2L,1.354154568,39.30369425
ONE_2,1993.379587,29.15969222,ONE.2.2L,9.428287983,36.49248438
ONE_2,1811.549628,29.31290751,ONE.2.2L,5.436074943,37.29020837
ONE_2,1786.58825,29.33513293,ONE.2.2L,8.806142213,36.59137836
ONE_3,1575.041,29.53700837,ONE.3.2L,2.681614352,38.31389839
ONE_3,1440.771,29.67973812,ONE.3.2L,5.135331768,37.37265663
ONE_3,1687.986,29.42607272,ONE.3.2L,4.362102592,37.60906647
OSW_1,687.8255131,30.86414511,OSW.1.2L,NA,Undetermined
OSW_1,767.4808894,30.68861677,OSW.1.2L,4.141769518,37.6841529
OSW_1,747.1223993,30.73168184,OSW.1.2L,2.642901221,38.33496464
OSW_2,530.6027686,31.27986013,OSW.2.2L,NA,Undetermined
OSW_2,568.1402961,31.17036599,OSW.2.2L,NA,Undetermined
OSW_2,653.849758,30.94529107,OSW.2.2L,NA,Undetermined
OSW_3,6778.879986,27.19905703,OSW.3.2L,26.35500495,35.00332695
OSW_3,6758.282123,27.20393173,OSW.3.2L,28.32954079,34.89866458
OSW_3,6819.239937,27.18954824,OSW.3.2L,12.3309644,36.10366116
ECAN_1,493.2384743,31.39682876,ECAN.1.2L,2.860563586,38.22031438
ECAN_1,424.2894117,31.63803076,ECAN.1.2L,7.135591466,36.89611362
ECAN_1,423.5522864,31.64081611,ECAN.1.2L,NA,Undetermined
ECAN_2,313.5183267,32.1226838,ECAN.2.2L,NA,Undetermined
ECAN_2,193.2790025,32.89753644,ECAN.2.2L,1.473588215,39.18124771
ECAN_2,355.2515245,31.9225032,ECAN.2.2L,NA,Undetermined
ECAN_3,438.3862162,31.58567505,ECAN.3.2L,NA,Undetermined
ECAN_3,375.3089314,31.83452398,ECAN.3.2L,2.417176249,38.46429844
ECAN_3,385.3589431,31.7921939,ECAN.3.2L,2.617774657,38.34880336
ROC_1,577.7122166,31.14360311,ROC.1.2L,NA,Undetermined
ROC_1,548.2134131,31.22755808,ROC.1.2L,NA,Undetermined
ROC_1,502.2884815,31.36770415,ROC.1.2L,NA,Undetermined
ROC_2,891.6891529,30.44833259,ROC.2.2L,2.800812866,38.25089445
ROC_2,815.1558993,30.59207989,ROC.2.2L,6.714654585,36.98419712
ROC_2,756.418496,30.71187372,ROC.2.2L,7.128501502,36.89755375
ROC_3,1100.919567,30.11068868,ROC.3.2L,NA,Undetermined
ROC_3,994.1576133,30.27408608,ROC.3.2L,8.541980221,36.63550011
ROC_3,972.8877479,30.30872941,ROC.3.2L,0.774358665,40.11335563
SEN_1,NA,Undetermined,SEN.1.2L,NA,Undetermined
SEN_1,NA,Undetermined,SEN.1.2L,NA,Undetermined
SEN_1,NA,Undetermined,SEN.1.2L,NA,Undetermined
SEN_2,NA,Undetermined,SEN.2.2L,NA,Undetermined
SEN_2,NA,Undetermined,SEN.2.2L,NA,Undetermined
SEN_2,NA,Undetermined,SEN.2.2L,NA,Undetermined
SEN_3,NA,Undetermined,SEN.3.2L,NA,Undetermined
SEN_3,NA,Undetermined,SEN.3.2L,NA,Undetermined
SEN_3,NA,Undetermined,SEN.3.2L,NA,Undetermined
CAY_1,265.1796304,32.39091447,CAY.1.2L,3.088911779,38.10905578
CAY_1,202.1230183,32.82586678,CAY.1.2L,NA,Undetermined
CAY_1,340.3242804,31.9912661,CAY.1.2L,2.282855741,38.54712337
