site,lake,longitude,latitude,structure,since_invasion
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMK,Michigan,-87.8146,42.5791,west,23
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
LMM,Michigan,-86.3392,43.2235,west,25
