"X1","X2","X3"
"t_LMK_01",1,0
"t_LMK_02",1,0
"t_LMK_03",1,0
"t_LMK_04",1,0
"t_LMK_05",1,0
"t_LMK_06",1,0
"t_LMK_07",1,0
"t_LMK_08",1,0
"t_LMK_09",1,0
"t_LMK_10",1,0
"t_LMK_11",1,0
"t_LMK_12",1,0
"t_LMK_13",1,0
"t_LMK_14",1,0
"t_LMK_15",1,0
"t_LMK_16",1,0
"t_LMK_17",1,0
"t_LMK_18",1,0
"t_LMK_19",1,0
"t_LMK_20",1,0
"t_LMK_21",1,0
"t_LMK_22",1,0
"t_LMK_23",1,0
"t_LMK_24",1,0
"t_LMK_25",1,0
"t_LMK_26",1,0
"t_LMK_27",1,0
"t_LMK_28",1,0
"t_LMM_01",1,0
"t_LMM_02",1,0
"t_LMM_03",1,0
"t_LMM_04",1,0
"t_LMM_05",1,0
"t_LMM_06",1,0
"t_LMM_07",1,0
"t_LMM_08",1,0
"t_LMM_09",1,0
"t_LMM_10",1,0
"t_LMM_11",1,0
"t_LMM_12",1,0
"t_LMM_13",1,0
"t_LMM_14",1,0
"t_LMM_15",1,0
"t_LMM_16",1,0
"t_LMM_17",1,0
"t_LMM_18",1,0
"t_LMM_19",1,0
"t_LMM_20",1,0
"t_LMM_21",1,0
"t_LMM_22",1,0
"t_LMM_23",1,0
"t_LMM_24",1,0
"t_LMM_25",1,0
"t_LMM_26",1,0
"t_LMM_27",1,0
"t_LMM_28",1,0
"t_LHS_01",1,0
"t_LHS_02",1,0
"t_LHS_03",1,0
"t_LHS_04",1,0
"t_LHS_05",1,0
"t_LHS_06",1,0
"t_LHS_07",1,0
"t_LHS_08",1,0
"t_LHS_09",1,0
"t_LHS_10",1,0
"t_LHS_11",1,0
"t_LHS_12",1,0
"t_LHS_13",1,0
"t_LHS_14",1,0
"t_LHS_15",1,0
"t_LHS_16",1,0
"t_LHS_17",1,0
"t_LHS_18",1,0
"t_LHS_19",1,0
"t_LHS_20",1,0
"t_LHS_21",1,0
"t_LHS_22",1,0
"t_LHS_23",1,0
"t_LHS_24",1,0
"t_LHS_25",1,0
"t_LHS_26",1,0
"t_LHS_27",1,0
"t_LHS_28",1,0
"t_LSC_01",1,0
"t_LSC_02",1,0
"t_LSC_03",1,0
"t_LSC_04",1,0
"t_LSC_05",0.894,0.106
"t_LSC_06",1,0
"t_LSC_07",1,0
"t_LSC_08",1,0
"t_LSC_09",1,0
"t_LSC_10",1,0
"t_LSC_11",1,0
"t_LSC_12",1,0
"t_LSC_13",0.999,0.001
"t_LSC_14",1,0
"t_ERIW_01",1,0
"t_ERIW_02",1,0
"t_ERIW_03",1,0
"t_ERIW_04",1,0
"t_ERIW_05",1,0
"t_ERIW_06",1,0
"t_ERIW_07",1,0
"t_ERIW_08",1,0
"t_ERIW_09",0.998,0.002
"t_ERIE_01",0,1
"t_ERIE_02",0.027,0.973
"t_ERIE_03",0.001,0.999
"t_ERIE_04",0.003,0.997
"t_ERIE_05",0,1
"t_ERIE_06",0,1
"t_ERIE_07",0,1
"t_ERIE_08",0.134,0.866
"t_ERIE_09",0,1
"t_ERIE_10",0,1
"t_ERIE_11",0,1
"t_ERIE_12",0.007,0.993
"t_ERIE_13",0,1
"t_ROC_01",1,0
"t_ROC_02",0,1
"t_ROC_03",0.996,0.004
"t_ROC_04",0.998,0.002
"t_ROC_05",0.897,0.103
"t_ROC_06",1,0
"t_ROC_07",1,0
"t_ROC_08",0.999,0.001
"t_ROC_09",1,0
"t_ROC_10",0.001,0.999
"t_ROC_11",1,0
"t_ROC_12",1,0
"t_ROC_13",0.569,0.431
"t_ROC_14",1,0
"t_ROC_15",1,0
"t_ROC_16",0.048,0.952
"t_ROC_17",0,1
"t_ROC_18",1,0
"t_ROC_19",1,0
"t_ROC_20",1,0
"t_ROC_21",0.001,0.999
"t_ROC_22",0.496,0.504
"t_ROC_23",1,0
"t_ROC_24",1,0
"t_ROC_25",0.992,0.008
"t_ROC_26",1,0
"t_ROC_27",1,0
"t_ROC_28",0,1
"t_OSW_01",1,0
"t_OSW_02",1,0
"t_OSW_03",1,0
"t_OSW_04",0.936,0.064
"t_OSW_05",1,0
"t_OSW_06",0.999,0.001
"t_OSW_07",1,0
"t_OSW_08",0.973,0.027
"t_OSW_09",0.938,0.062
"t_OSW_10",1,0
"t_OSW_11",1,0
"t_OSW_12",1,0
"t_OSW_13",0.154,0.846
"t_OSW_14",1,0
"t_OSW_15",1,0
"t_OSW_16",1,0
"t_OSW_17",1,0
"t_OSW_18",1,0
"t_OSW_19",1,0
"t_OSW_20",0,1
"t_OSW_21",1,0
"t_OSW_22",1,0
"t_OSW_23",1,0
"t_OSW_24",1,0
"t_OSW_25",0.974,0.026
"t_OSW_26",0.999,0.001
"t_OSW_27",1,0
"t_OSW_28",0.976,0.024
"t_ECAN_01",0,1
"t_ECAN_02",0,1
"t_ECAN_03",0,1
"t_ECAN_04",0,1
"t_ECAN_05",0,1
"t_ECAN_06",0,1
"t_ECAN_07",0,1
"t_ECAN_08",0,1
"t_ECAN_09",0,1
"t_ECAN_10",0,1
"t_ECAN_11",0,1
"t_ECAN_12",0,1
"t_ECAN_13",0,1
"t_ECAN_14",0,1
"t_ECAN_15",0,1
"t_ECAN_16",0,1
"t_ECAN_17",0,1
"t_ECAN_18",0,1
"t_ECAN_19",0,1
"t_ECAN_20",0,1
"t_CAY_01",0,1
"t_CAY_02",0,1
"t_CAY_03",0,1
"t_CAY_04",0,1
"t_CAY_05",0,1
"t_CAY_06",0,1
"t_CAY_07",0,1
"t_CAY_08",0,1
"t_CAY_09",0,1
"t_CAY_10",0,1
"t_CAY_11",0,1
"t_CAY_12",0,1
"t_CAY_13",0,1
"t_CAY_14",0,1
"t_CAY_15",0,1
"t_CRO_01",0,1
"t_CRO_02",0,1
"t_CRO_03",0,1
"t_CRO_04",0,1
"t_CRO_05",0,1
"t_CRO_06",0,1
"t_CRO_07",0,1
"t_CRO_08",0,1
"t_CRO_09",0,1
"t_CRO_10",0,1
"t_CRO_11",0,1
"t_CRO_12",0,1
"t_CRO_13",0,1
"t_CRO_14",0,1
"t_CRO_15",0,1
"t_CRO_16",0,1
"t_CRO_17",0,1
"t_CRO_18",0,1
"t_ONO_01",0,1
"t_ONO_02",0,1
"t_ONO_03",0,1
"t_ONO_04",0,1
"t_ONO_05",0,1
"t_ONO_06",0,1
"t_ONO_07",0,1
"t_ONO_08",0,1
"t_ONO_09",0,1
"t_ONO_10",0,1
"t_ONO_11",0,1
"t_ONO_12",0,1
"t_ONO_13",0,1
"t_ONO_14",0,1
"t_ONO_15",0,1
"t_ONO_16",0,1
"t_ONO_17",0,1
"t_ONO_18",0,1
"t_ONO_19",0,1
"t_ONO_20",0,1
