"X1","X2","X3","X4"
"t_LHS_01","0.000","0.000","1.000"
"t_LHS_02","0.000","0.000","1.000"
"t_LHS_03","0.000","0.000","1.000"
"t_LHS_04","0.000","0.000","1.000"
"t_LHS_05","0.001","0.000","0.999"
"t_LHS_06","0.000","0.000","1.000"
"t_LHS_07","0.000","0.000","1.000"
"t_LHS_08","0.000","0.000","1.000"
"t_LHS_09","0.000","0.000","1.000"
"t_LHS_10","0.000","0.000","1.000"
"t_LHS_11","0.000","0.000","1.000"
"t_LHS_12","0.000","0.000","1.000"
"t_LHS_13","0.000","0.000","1.000"
"t_LHS_14","0.000","0.000","1.000"
"t_LHS_15","0.000","0.000","1.000"
"t_LHS_16","0.000","0.000","1.000"
"t_LHS_17","0.000","0.000","1.000"
"t_LHS_18","0.000","0.000","1.000"
"t_LHS_19","0.000","0.000","1.000"
"t_LHS_20","0.002","0.000","0.998"
"t_LHS_21","0.000","0.000","1.000"
"t_LHS_22","0.000","0.000","1.000"
"t_LHS_23","0.000","0.000","1.000"
"t_LHS_24","0.000","0.000","1.000"
"t_LHS_25","0.001","0.000","0.999"
"t_LHS_26","0.000","0.000","1.000"
"t_LHS_27","0.000","0.000","1.000"
"t_LHS_28","0.000","0.000","1.000"
"t_LMM_01","1.000","0.000","0.000"
"t_LMM_02","1.000","0.000","0.000"
"t_LMM_03","0.955","0.000","0.045"
"t_LMM_04","1.000","0.000","0.000"
"t_LMM_05","1.000","0.000","0.000"
"t_LMM_06","1.000","0.000","0.000"
"t_LMM_07","1.000","0.000","0.000"
"t_LMM_08","1.000","0.000","0.000"
"t_LMM_09","1.000","0.000","0.000"
"t_LMM_10","1.000","0.000","0.000"
"t_LMM_11","1.000","0.000","0.000"
"t_LMM_12","1.000","0.000","0.000"
"t_LMM_13","1.000","0.000","0.000"
"t_LMM_14","1.000","0.000","0.000"
"t_LMM_15","1.000","0.000","0.000"
"t_LMM_16","1.000","0.000","0.000"
"t_LMM_17","1.000","0.000","0.000"
"t_LMM_18","1.000","0.000","0.000"
"t_LMM_19","1.000","0.000","0.000"
"t_LMM_20","1.000","0.000","0.000"
"t_LMM_21","1.000","0.000","0.000"
"t_LMM_22","1.000","0.000","0.000"
"t_LMM_23","1.000","0.000","0.000"
"t_LMM_24","1.000","0.000","0.000"
"t_LMM_25","1.000","0.000","0.000"
"t_LMM_26","1.000","0.000","0.000"
"t_LMM_27","1.000","0.000","0.000"
"t_LMM_28","1.000","0.000","0.000"
"t_LMK_01","1.000","0.000","0.000"
"t_LMK_02","1.000","0.000","0.000"
"t_LMK_03","1.000","0.000","0.000"
"t_LMK_04","1.000","0.000","0.000"
"t_LMK_05","1.000","0.000","0.000"
"t_LMK_06","1.000","0.000","0.000"
"t_LMK_07","1.000","0.000","0.000"
"t_LMK_08","1.000","0.000","0.000"
"t_LMK_09","1.000","0.000","0.000"
"t_LMK_10","1.000","0.000","0.000"
"t_LMK_11","1.000","0.000","0.000"
"t_LMK_12","1.000","0.000","0.000"
"t_LMK_13","1.000","0.000","0.000"
"t_LMK_14","1.000","0.000","0.000"
"t_LMK_15","1.000","0.000","0.000"
"t_LMK_16","1.000","0.000","0.000"
