"X1","X2","X3","X4","X5"
"t_LHS_01","0.000","0.000","0.000","1.000"
"t_LHS_02","0.000","0.000","0.000","1.000"
"t_LHS_03","0.000","0.000","0.000","1.000"
"t_LHS_04","0.000","0.000","0.000","1.000"
"t_LHS_05","0.000","0.000","0.000","1.000"
"t_LHS_06","0.000","0.011","0.000","0.989"
"t_LHS_07","0.000","0.000","0.000","1.000"
"t_LHS_08","0.000","0.000","0.000","1.000"
"t_LHS_09","0.000","0.000","0.000","1.000"
"t_LHS_10","0.000","0.000","0.000","1.000"
"t_LHS_11","0.000","0.000","0.000","1.000"
"t_LHS_12","0.000","0.000","0.000","1.000"
"t_LHS_13","0.000","0.000","0.000","1.000"
"t_LHS_14","0.000","0.000","0.000","1.000"
"t_LHS_15","0.000","0.001","0.000","0.999"
"t_LHS_16","0.000","0.000","0.000","1.000"
"t_LHS_17","0.000","0.001","0.000","0.999"
"t_LHS_18","0.000","0.000","0.000","1.000"
"t_LHS_19","0.000","0.005","0.000","0.995"
"t_LHS_20","0.000","0.000","0.000","1.000"
"t_LHS_21","0.000","0.004","0.000","0.996"
"t_LHS_22","0.000","0.000","0.000","1.000"
"t_LHS_23","0.000","0.000","0.000","1.000"
"t_LHS_24","0.000","0.000","0.000","1.000"
"t_LHS_25","0.000","0.000","0.000","1.000"
"t_LHS_26","0.000","0.003","0.000","0.997"
"t_LHS_27","0.000","0.000","0.000","1.000"
"t_LHS_28","0.000","0.000","0.000","1.000"
"t_LMM_01","0.000","0.000","0.000","1.000"
"t_LMM_02","0.000","0.000","0.000","1.000"
"t_LMM_03","0.000","0.000","0.000","1.000"
"t_LMM_04","0.000","0.000","0.000","1.000"
"t_LMM_05","0.000","0.000","0.000","1.000"
"t_LMM_06","0.000","0.000","0.000","1.000"
"t_LMM_07","0.000","0.000","0.000","1.000"
"t_LMM_08","0.000","0.000","0.000","1.000"
"t_LMM_09","0.000","0.000","0.000","1.000"
"t_LMM_10","0.000","0.000","0.000","1.000"
"t_LMM_11","0.000","0.000","0.000","1.000"
"t_LMM_12","0.000","0.000","0.000","1.000"
"t_LMM_13","0.000","0.000","0.000","1.000"
"t_LMM_14","0.000","0.000","0.000","1.000"
"t_LMM_15","0.000","0.000","0.000","1.000"
"t_LMM_16","0.000","0.000","0.000","1.000"
"t_LMM_17","0.000","0.000","0.000","1.000"
"t_LMM_18","0.000","0.000","0.000","1.000"
"t_LMM_19","0.000","0.000","0.000","1.000"
"t_LMM_20","0.000","0.000","0.000","1.000"
"t_LMM_21","0.000","0.000","0.000","1.000"
"t_LMM_22","0.000","0.000","0.000","1.000"
"t_LMM_23","0.000","0.000","0.000","1.000"
"t_LMM_24","0.000","0.000","0.000","1.000"
"t_LMM_25","0.000","0.000","0.000","1.000"
"t_LMM_26","0.000","0.000","0.000","1.000"
"t_LMM_27","0.000","0.000","0.000","1.000"
"t_LMM_28","0.000","0.000","0.000","1.000"
"t_LMK_01","0.000","0.000","0.000","1.000"
"t_LMK_02","0.000","0.000","0.000","1.000"
"t_LMK_03","0.000","0.000","0.000","1.000"
"t_LMK_04","0.000","0.000","0.000","1.000"
"t_LMK_05","0.000","0.000","0.000","1.000"
"t_LMK_06","0.000","0.000","0.000","1.000"
"t_LMK_07","0.000","0.000","0.000","1.000"
"t_LMK_08","0.000","0.000","0.000","1.000"
"t_LMK_09","0.000","0.004","0.000","0.996"
"t_LMK_10","0.000","0.000","0.000","1.000"
"t_LMK_11","0.000","0.000","0.000","1.000"
"t_LMK_12","0.000","0.000","0.000","1.000"
"t_LMK_13","0.000","0.000","0.000","1.000"
"t_LMK_14","0.000","0.000","0.000","1.000"
"t_LMK_15","0.000","0.000","0.000","1.000"
"t_LMK_16","0.000","0.000","0.000","1.000"
"t_LMK_17","0.000","0.000","0.000","1.000"
"t_LMK_18","0.000","0.000","0.000","1.000"
"t_LMK_19","0.000","0.000","0.000","1.000"
"t_LMK_20","0.000","0.000","0.000","1.000"
"t_LMK_21","0.000","0.000","0.000","1.000"
"t_LMK_22","0.000","0.000","0.000","1.000"
"t_LMK_23","0.000","0.000","0.000","1.000"
"t_LMK_24","0.000","0.000","0.000","1.000"
"t_LMK_25","0.000","0.002","0.000","0.998"
"t_LMK_26","0.000","0.000","0.000","1.000"
"t_LMK_27","0.000","0.000","0.000","1.000"
"t_LMK_28","0.000","0.000","0.000","1.000"
"t_ONO_01","0.815","0.000","0.185","0.000"
"t_ONO_02","0.022","0.000","0.978","0.000"
"t_ONO_03","0.000","0.000","1.000","0.000"
"t_ONO_04","0.000","0.000","1.000","0.000"
"t_ONO_05","1.000","0.000","0.000","0.000"
"t_ONO_06","0.000","0.000","1.000","0.000"
"t_ONO_07","1.000","0.000","0.000","0.000"
"t_ONO_08","1.000","0.000","0.000","0.000"
"t_ONO_09","0.000","0.000","1.000","0.000"
"t_ONO_10","0.755","0.000","0.245","0.000"
